base_name,step1_file,step3_file,step1_yaml_valid,step1_actionlint_valid,step1_syntax_errors,step1_expression_errors,step3_yaml_valid,step3_actionlint_valid,step3_syntax_errors,step3_expression_errors,yaml_improved,actionlint_improved,edit_distance,bleu_score,is_actionlint_passed,is_high_quality
c6252f27f8defe45e1e077a8b11a5638c48634cd7cb10000e921693b90832302,c6252f27f8defe45e1e077a8b11a5638c48634cd7cb10000e921693b90832302,94beff1b9bba363a5e814d5c71f4c9a1141505d213b1451db2c3938a3d961d8a,True,False,0,3,True,False,0,3,False,False,9,0.8484,False,False
cd5037f8e53c575214a162a5bd263b4a0c3eb3e40a6339f07b27d0ec79130d6f,cd5037f8e53c575214a162a5bd263b4a0c3eb3e40a6339f07b27d0ec79130d6f,b2a9f80d074ce40eba4777820a62bbec99046fdc2acddb8a405a25eaf256b1f6,True,False,1,0,True,True,0,0,False,True,4,0.8579,True,True
a213a851c82357b79f2c11fc331f2fc07aa5f4282936241cd807747480e0ce83,a213a851c82357b79f2c11fc331f2fc07aa5f4282936241cd807747480e0ce83,8f53a8f608c50e808c8ebee5a18d02ca495e8eb717e7425fa95273fa65603ca4,True,False,1,0,True,True,0,0,False,True,6,0.9129,True,True
a31b41aad4aa1e455f5668a8f9feec2042f16bf5444acc799d77c4886842ec5f,a31b41aad4aa1e455f5668a8f9feec2042f16bf5444acc799d77c4886842ec5f,bfb72b2485ad5fb47962e5775e9615345cd12c2f95e6935aa53073647c9c3469,True,False,1,6,True,False,0,6,False,False,5,0.9227,False,False
a6c4846b890db259b878704d820e7a593e1aaca52f2a1a87359058a8ce7587f5,a6c4846b890db259b878704d820e7a593e1aaca52f2a1a87359058a8ce7587f5,03cfeed463b5277a965890af3d194aa287bd25d2abbb8c5bc4d1ec2c4623cac2,True,False,1,0,True,True,0,0,False,True,6,0.8313,True,False
d5ce3bebf31d3c36b9b79016c03f464b36459be04c5e8e11a1c73f4538dd212f,d5ce3bebf31d3c36b9b79016c03f464b36459be04c5e8e11a1c73f4538dd212f,015a4f68ff1526b94f3b636924b21ccdd6dbf9ac9fcd845ee6c7b56a7b015725,False,False,1,0,True,True,0,0,True,True,39,0.7016,True,False
18a6e326f1d5d0cd0197f594d6f65a9383f248fa5db1697e68c1f5f52ad6b8fd,18a6e326f1d5d0cd0197f594d6f65a9383f248fa5db1697e68c1f5f52ad6b8fd,3722c4c969c2e5e39e07eca786c7220340f051e03556334d41d724e682c026e5,True,True,0,0,True,True,0,0,False,False,2,0.8911,True,True
df6d6d4ef1c9d00e6d4249ee2087a4557006763ffcaa057b724c09a473c62421,df6d6d4ef1c9d00e6d4249ee2087a4557006763ffcaa057b724c09a473c62421,633b839ad45690cec2d69ad1aa34434e26d79f86cc35b1d2fb1580486b8f8aca,True,True,0,0,True,True,0,0,False,False,11,0.8641,True,True
0704bc7c17620a58bf1c422682f783ae8f3ea562484d542cea8dd80d5b38bbf6,0704bc7c17620a58bf1c422682f783ae8f3ea562484d542cea8dd80d5b38bbf6,9e79f7f61bc032181f87cefb2056052eaf0ee4f70b2f9b74a725cdc3b0d9a72b,False,False,1,0,True,True,0,0,True,True,38,0.4623,True,False
eafd8619ee686d743b409880088c4ab4a3ce9d7bff182051ecbfcce7d27081e6,eafd8619ee686d743b409880088c4ab4a3ce9d7bff182051ecbfcce7d27081e6,12b0cce212d86876c20979b4d6f86fd73452ffba013b8f2857aa730bad2348f5,False,False,1,0,True,True,0,0,True,True,8,0.5696,True,False
91b80ac627b177256ad52f8413ace40e469323d73eab5434e94caf854ced42cf,91b80ac627b177256ad52f8413ace40e469323d73eab5434e94caf854ced42cf,7a8f0a76366b5e3c066ecd7a79149a2a3c4a5de9d8efc5d3e78e63267acc6b7f,False,False,1,0,True,True,0,0,True,True,4,0.7141,True,False
da0b25b0960d69ad378bf7468648707472bafe67fd3d81c66ce4f118b3b485e9,da0b25b0960d69ad378bf7468648707472bafe67fd3d81c66ce4f118b3b485e9,0f3a59711f618758f4853a4f7e79801ee5094e98b40f451794583e8a48bd1db8,False,False,1,0,True,True,0,0,True,True,11,0.8318,True,False
6d852ea88b27cc10254f423c1f014b5841e7b15845b7197b69f631e69c0fa6b1,6d852ea88b27cc10254f423c1f014b5841e7b15845b7197b69f631e69c0fa6b1,fd65cfadb7ae8f7e500e2ba50500a01f5ea74e074835fff61c4dc86dad6cc1c8,False,False,1,0,True,True,0,0,True,True,9,0.9776,True,True
7b14b19181db53e5aad266af22ec80c21a7ad86e0d9a3733cd219cdae14de98d,7b14b19181db53e5aad266af22ec80c21a7ad86e0d9a3733cd219cdae14de98d,0427b24f0952ca26d16001c8aa7e57e4a708d7f697e88c30b12f1b4130195822,True,False,2,0,True,True,0,0,False,True,26,0.7460,True,False
d04a63422fbfa3db4d932ff203ca7d66bbd2ab3b91bee2a1f1ac30553dc03cf0,d04a63422fbfa3db4d932ff203ca7d66bbd2ab3b91bee2a1f1ac30553dc03cf0,f48afb8ed056184fb9bd5700856fafac068e3af8488480eb125f173362711121,True,False,2,1,True,False,0,1,False,False,17,0.7750,False,False
49687af6dfda915f58cc0dc36db13082adbb62e8930326809023117cf1cf1226,49687af6dfda915f58cc0dc36db13082adbb62e8930326809023117cf1cf1226,f61f7271be945e8c2e35f2da527988dfed130c2430922471829bae783017fce9,False,False,1,0,False,False,1,0,False,False,10,0.7127,False,False
