Category,Metric,Value
Overall,Total Files,100
Overall,STEP2 YAML Success Rate,100.00%
Overall,STEP2 actionlint Success Rate,93.00%
Overall,Average BLEU Score,0.8432
Actionlint Passed,Count,93
Actionlint Passed,Percentage of All,93.00%
Actionlint Passed,Average BLEU,0.8385
High Quality (actionlint + BLEU>=0.85),Count,66
High Quality,Percentage of All,66.00%
High Quality,Percentage of Actionlint Passed,70.97%
High Quality,Average BLEU,0.9322
High Quality,Average Edit Distance,3.02
High Quality,Edit Distance Range,1 ~ 16
