base_name,step1_file,step2_file,bleu_score,edit_distance,step1_syntax_errors,step1_expression_errors,step2_syntax_errors,step2_expression_errors,yaml_improved,actionlint_improved
6d852ea88b27cc10254f423c1f014b5841e7b15845b7197b69f631e69c0fa6b1,6d852ea88b27cc10254f423c1f014b5841e7b15845b7197b69f631e69c0fa6b1,15dd5294d40f115ad70223c872caded9e12432b1cc5d2d5d7b9e09f8e7990dc1,0.9940,2,1,0,0,0,True,True
e31683ca78a432407085dc9f45bbdf49b663b7ac4befda4f4758bc50ab0ceef2,e31683ca78a432407085dc9f45bbdf49b663b7ac4befda4f4758bc50ab0ceef2,f0dd9ca9b4265bcd2726d27ea2b81eba7d05147aa7f7cf94c2b34cd338cd1964,0.9894,1,1,0,0,0,False,True
f6b366f61f105b2434b762f349336b8c2d15695f72cfc34636fe14f6feb7cc71,f6b366f61f105b2434b762f349336b8c2d15695f72cfc34636fe14f6feb7cc71,67c806621912ff8eac2aff0973a19e2b110f662bab53125a6621cc95dc29462d,0.9885,8,3,0,0,0,False,True
47f4c5efe91d14fa3841aa36ef886f7b7b47fde8a8722f9f727569b38d78678e,47f4c5efe91d14fa3841aa36ef886f7b7b47fde8a8722f9f727569b38d78678e,295f5e9fc109fe76449627c1264a756667472fe47fad1ec78ded83fae67c3e7b,0.9870,1,0,0,0,0,False,False
144219ae5871007f568ea79dff27e67c705fb08e6fc115c9cdabc114a04d9ee6,144219ae5871007f568ea79dff27e67c705fb08e6fc115c9cdabc114a04d9ee6,3f60f1795fe1222b9989823d0fa5ef61906df21562b3cf534e6c9e974713daeb,0.9867,1,1,0,0,0,True,True
863201e059ff239884fdbd95aed968d04688efc43c602dc758298ae80ce0d4c6,863201e059ff239884fdbd95aed968d04688efc43c602dc758298ae80ce0d4c6,9f646a4126e59d7ce88d602dfade962c6afadf11b3b22514ebf4f298a4ae8c3f,0.9850,1,1,0,0,0,False,True
12607c88ad84fd954e303351f1c29298f9515d50a162882d807d41f663da9a8c,12607c88ad84fd954e303351f1c29298f9515d50a162882d807d41f663da9a8c,108c2891f37d63b614969250ecdcd1c98846d0b54648357a2e61277f77786f0a,0.9813,1,1,0,0,0,False,True
431246d62ee845a4f67da227e525d6b86d7657f8c4f62edf2bd8ebebec748c53,431246d62ee845a4f67da227e525d6b86d7657f8c4f62edf2bd8ebebec748c53,e920c49ad3a38bf203d0f4e957e19633a190d0a4e66aa312c49b547fbaa5d0d7,0.9798,1,1,0,0,0,True,True
fbfc9e8945dd2dba9f0c4edfda567e116c610a54ae4a39ed9bf1fd44dbb01c02,fbfc9e8945dd2dba9f0c4edfda567e116c610a54ae4a39ed9bf1fd44dbb01c02,9660e93779febdd797da5637bd25ecf83397ace3ec3493c9ab171fcac4aa1d0c,0.9798,1,1,0,0,0,False,True
19adf5faa7348751fbd2cbc3840a6f95108578688542b81188bce4c01f1a6a17,19adf5faa7348751fbd2cbc3840a6f95108578688542b81188bce4c01f1a6a17,ab97536b79707a20cbbbd9eea1a6155fd5986a24bda730d7d93f896edeb62dab,0.9778,1,1,0,0,0,False,True
37a5b2abc5da4145cee340443d95e789ce77adee2effd935ce9e907789899321,37a5b2abc5da4145cee340443d95e789ce77adee2effd935ce9e907789899321,ffadc5344ff9f24b85b2c5ed88e3fce9e5d2311b690c477d189dd541cd09a300,0.9777,1,1,0,0,0,False,True
e62afae1faf1c366fbb148068244c71d5ab66e06d8da34500c95c197852f3919,e62afae1faf1c366fbb148068244c71d5ab66e06d8da34500c95c197852f3919,a39bc9b94449451c93f820f49c5bbd727e5db72931d0780b6aae4d586ffcdad3,0.9776,1,1,0,0,0,True,True
fde16e7d9db9e0b0835e1f940ce853a304cb450f2ef7c72831913cd7838c9536,fde16e7d9db9e0b0835e1f940ce853a304cb450f2ef7c72831913cd7838c9536,c9796a2a79e104fd8afc9c7fdac75cae22ab391c1ad3b1fa41fcc2925a82404d,0.9756,16,4,0,0,0,False,True
7b14b19181db53e5aad266af22ec80c21a7ad86e0d9a3733cd219cdae14de98d,7b14b19181db53e5aad266af22ec80c21a7ad86e0d9a3733cd219cdae14de98d,c5d771f57ccf18148ead2ce57b53b498186dd7d350d2a13b053caacce260bd6a,0.9742,1,2,0,0,0,False,True
19258ed075aa8e803221bd5865d57c00efe95f8bef222797a0eebdfff6c2ec32,19258ed075aa8e803221bd5865d57c00efe95f8bef222797a0eebdfff6c2ec32,98bddc0d46ab37f6acea8dd1d49bbd978efb577569d953d4cd50c15aea293ff9,0.9712,1,1,0,0,0,True,True
5f208d2ed2a03e89b19fc427282bab5143ca6a099ea362e174d3a35d61d428ae,5f208d2ed2a03e89b19fc427282bab5143ca6a099ea362e174d3a35d61d428ae,2a28b0ed47b7b9815b59bcb2f63ffffefa93af0d03d097d19242802b9df8e87e,0.9695,1,3,0,0,0,False,True
da0b25b0960d69ad378bf7468648707472bafe67fd3d81c66ce4f118b3b485e9,da0b25b0960d69ad378bf7468648707472bafe67fd3d81c66ce4f118b3b485e9,b2a875935d3d882dc9fc96554abb55be7fc494acced9cd397394a2f90539104d,0.9661,1,1,0,0,0,True,True
14ac7b69a9de471f132d57419f8f0edd08cdba29dbcd6a567df06d02e12897a6,14ac7b69a9de471f132d57419f8f0edd08cdba29dbcd6a567df06d02e12897a6,e1801ff91a187d2333206c6a26d0ba43db83bfc4edf2cb6d925f5427eb46a73b,0.9646,1,1,0,0,0,True,True
9f5d4acdf95f8b8cb9d38495e12167f8cc1f1b52c584462c6a5bbdd9336095d2,9f5d4acdf95f8b8cb9d38495e12167f8cc1f1b52c584462c6a5bbdd9336095d2,035c700b827666d95341e7ba009f4a6324168e9909b6a77db5f71c57e41f62c4,0.9646,3,1,0,0,0,True,True
55c87a3ab6dd1fb82c5c96d93cf0e81201ec3c8cc53b87a8b45cad58272409dc,55c87a3ab6dd1fb82c5c96d93cf0e81201ec3c8cc53b87a8b45cad58272409dc,4e0077b2bbfe00afe36663165dacb4d3f5af8f19ad2b4d387b9f3f33ae6bea31,0.9631,2,2,0,0,0,False,True
98cc10ab1759348b1bfee5d3e892ad08243b1d2d31e6e2880387780c0ffe02ba,98cc10ab1759348b1bfee5d3e892ad08243b1d2d31e6e2880387780c0ffe02ba,f644d6a4c52d534ad2bfd95ad89b9dbdadf387a78b8d365e3721bf78bd7d33a4,0.9606,2,1,0,0,0,True,True
a213a851c82357b79f2c11fc331f2fc07aa5f4282936241cd807747480e0ce83,a213a851c82357b79f2c11fc331f2fc07aa5f4282936241cd807747480e0ce83,0ba0432f32fe35ac6148b814c83c479093ed4e0717eaad72fcbc9fee7162e5b6,0.9590,4,1,0,0,0,False,True
5984db13ef855cc2f550b4a88d68874e4e29804836cbfeab12f91dad4df7c537,5984db13ef855cc2f550b4a88d68874e4e29804836cbfeab12f91dad4df7c537,eae8ca244c5959419a7e4712af5d0f58a3645caed118de6dd2330e9af78b6792,0.9590,4,1,0,0,0,False,True
781853becc80748ede29a80e9c260f904cf49762f5de623b68877daf86f8dd53,781853becc80748ede29a80e9c260f904cf49762f5de623b68877daf86f8dd53,c97d0ac930e1ca70145f1b662a5e5b30ee6960094dfefec8dc145bec7519c47d,0.9543,1,0,0,0,0,False,False
8eb749771ffc0bcfc0e7247670dd78e626c1fd0312f96378846def2327cdabf0,8eb749771ffc0bcfc0e7247670dd78e626c1fd0312f96378846def2327cdabf0,6bfe26e94a214f0108322573cca7b86f74813d1710c22c4483ecf307630c61ff,0.9534,1,1,0,0,0,False,True
a12db4af6c634f4dd559c5d5a277e93068243c499b3eda3055e90d6ef4a4a503,a12db4af6c634f4dd559c5d5a277e93068243c499b3eda3055e90d6ef4a4a503,e0564f6b9743f9d8ddd9752e366198989c46543318d6b0f1f9efae73fec9658a,0.9487,1,1,0,0,0,True,True
483d349a1f8b71e2386cb1b43b105757ddaf51c739c01f55d56cf8a040c9f533,483d349a1f8b71e2386cb1b43b105757ddaf51c739c01f55d56cf8a040c9f533,cb3a5b050f5bf4f28c3b7593a8979577d100d2fbdaac6265af4a27caae2f1948,0.9461,2,1,0,0,0,False,True
432a0c8b4fdeece1d97468bcb69603dcb88233a6e1535bb01d18001709f39ba2,432a0c8b4fdeece1d97468bcb69603dcb88233a6e1535bb01d18001709f39ba2,1eb6ac8ce917511538e460b01f24156f1317becfbfe1175b7112c11244c0a047,0.9453,1,1,0,0,0,True,True
e4c981ced1f688787e6c31edf4d2e1a58b4ab4c8b060d46eb708a476df772b77,e4c981ced1f688787e6c31edf4d2e1a58b4ab4c8b060d46eb708a476df772b77,f0e7cdea97094a9701db11cf4e339491bfd8d119195e5d0689dd7e27d00119a0,0.9444,2,1,0,0,0,False,True
fd1dd07efaf279ee634367633d0da11baac3c3408a70268c8ee18644e002e32c,fd1dd07efaf279ee634367633d0da11baac3c3408a70268c8ee18644e002e32c,d5b75faf2b9c97ffd70054d68e3929e9fca9bef2a18278d22987a1e772828a90,0.9424,3,1,0,0,0,True,True
cc7046412ef19a0d802ba43a60879aed8d88aeba5c3a911d87d5a8ced07e129a,cc7046412ef19a0d802ba43a60879aed8d88aeba5c3a911d87d5a8ced07e129a,efc175c619ab9f17b28371d80ed15f2d2efc2872243b53421dfe307b2458ced7,0.9414,1,2,0,0,0,False,True
cd5037f8e53c575214a162a5bd263b4a0c3eb3e40a6339f07b27d0ec79130d6f,cd5037f8e53c575214a162a5bd263b4a0c3eb3e40a6339f07b27d0ec79130d6f,0796001c974e101627a2a0a4c0c17f6d7536d49126e56bc11a8b6a37f5ddefd9,0.9400,1,1,0,0,0,False,True
4d8c94215d66296f388f8f5d7f764ce172d69893f1070956b50ac067e58ab210,4d8c94215d66296f388f8f5d7f764ce172d69893f1070956b50ac067e58ab210,cf8d4d767c67db443438feebaa8b5143d298a11d3d1adca113aef6829cde1c55,0.9355,1,1,0,0,0,True,True
b791d30a4d1c79e61b3d865a87d47b42afeee55e0b20cfc034e654d335aad53c,b791d30a4d1c79e61b3d865a87d47b42afeee55e0b20cfc034e654d335aad53c,0e748405d00eca71933ddb6be4ec340a01a51416f38b918cf4fafa8831fd4a56,0.9353,5,0,0,0,0,False,False
de5c9a99884da52406af55e0861592d998847fa6ac6228192e28727ad65ccbb7,de5c9a99884da52406af55e0861592d998847fa6ac6228192e28727ad65ccbb7,c2e74ac249ac0ff7ed2e6578442750fe3a3c7ed64d53bc3f1db83e53ca89a84f,0.9326,2,1,0,0,0,False,True
16d51e3faadfb28b3dc6ae7ca6db87626d5bedceabfb0177b85299987ef2595f,16d51e3faadfb28b3dc6ae7ca6db87626d5bedceabfb0177b85299987ef2595f,52b3516abde366cac64b3045da17fc6cb480bcc2af7ea7e744c57abb8d0c75b0,0.9326,2,1,0,0,0,True,True
b3862d3d9b8b8d206a87f9397995bd8723cb9ba203e1d88ccdd884f0523ec5a5,b3862d3d9b8b8d206a87f9397995bd8723cb9ba203e1d88ccdd884f0523ec5a5,5ad480211d4b56b13fe88c069304b5b0ab7d9a917f350d509c427308f3cf591e,0.9318,1,1,0,0,0,False,True
a6c4846b890db259b878704d820e7a593e1aaca52f2a1a87359058a8ce7587f5,a6c4846b890db259b878704d820e7a593e1aaca52f2a1a87359058a8ce7587f5,500667dc1fcac52298617368b6ad8c4ade22399593e76c22afcd949d6db47a97,0.9308,3,1,0,0,0,False,True
