base_name,step1_file,step4_file,bleu_score,edit_distance,step1_syntax_errors,step1_expression_errors,step4_syntax_errors,step4_expression_errors,yaml_improved,actionlint_improved
023ead47a64dde22d41d443f678b5040393a2874c85b2d88654ed9d318924088,023ead47a64dde22d41d443f678b5040393a2874c85b2d88654ed9d318924088,905124d5fd34460254230ce47b7735c6fd75bc1f6208660c07dc76e3ac46b67d,0.9993,2,1,0,0,0,True,True
ae4bc36608a8ca3106793c872bfca050c62cf4b19ef659088a91b3d930f08ad2,ae4bc36608a8ca3106793c872bfca050c62cf4b19ef659088a91b3d930f08ad2,2a5a6af26bcf50e397f8ecc170e6a130bdcfd56fbbd6d5bbf1392e2437743038,0.9990,2,1,0,0,0,True,True
26e38a621684de9a21624e035efbb2df565dfc3c95c88c9f8da233df57495f34,26e38a621684de9a21624e035efbb2df565dfc3c95c88c9f8da233df57495f34,8645862f55763c421ba9970c1a84f0c5432ddbd40f1056c90814708e3e81f1d7,0.9982,4,4,0,0,0,False,True
7f36bf50d89b13a918e23049bd5e93ad170e56241f7ed3775ef2f9b4f7f438de,7f36bf50d89b13a918e23049bd5e93ad170e56241f7ed3775ef2f9b4f7f438de,05a09ce8c1a1ecee88b40b991c89767dd9e86de405c26d1aaf5fc6b04ebd3ee2,0.9980,5,1,0,0,0,True,True
3f058d0b0f91b8b2802a3a55d8ee10ee293eda94ea42895870521fdacb2a0f7d,3f058d0b0f91b8b2802a3a55d8ee10ee293eda94ea42895870521fdacb2a0f7d,75c7362bf3ebb97e0a7c7d3d6b14fe8988a791e9355fae66341926a4d04c879e,0.9980,5,1,0,0,0,True,True
90f87346cd50e8e39160bfbf10532d88817593e4cdacb78b31abe089b1f63e6e,90f87346cd50e8e39160bfbf10532d88817593e4cdacb78b31abe089b1f63e6e,c62f040ffa533c6f5e53b75de7b1d041ae165bd209ea9ad942afe336c54476d0,0.9980,5,1,0,0,0,True,True
7edc1668fd215b74cae3634f883cf6b001c1bbdf8b7dbcf9e2571c48fe1b0748,7edc1668fd215b74cae3634f883cf6b001c1bbdf8b7dbcf9e2571c48fe1b0748,f8a4ed821e99eb397380f12749b2572ff189b51a31eab946850316deb01ecb1f,0.9980,5,1,0,0,0,True,True
4abbf7417cfd799e393b7ae994354747f06f26202a046e57f8a73f6ce6b9eb81,4abbf7417cfd799e393b7ae994354747f06f26202a046e57f8a73f6ce6b9eb81,2e00f613032a419a48fe1ccb0b27401ba24c841f8cbf48c386e5eb4632e3c38f,0.9977,5,4,0,0,0,False,True
a4ae15ca766363ae7dc12c1bd4889c03da688a37a420242b66f7c19966864090,a4ae15ca766363ae7dc12c1bd4889c03da688a37a420242b66f7c19966864090,235c3a9e5b51398891d734e339d33a5011634d8ad2f78663468963de0e4be062,0.9977,5,4,0,0,0,False,True
5daea6898ab0327582c419ae572087e455fcd91479eafa2d9a4ae0019740e334,5daea6898ab0327582c419ae572087e455fcd91479eafa2d9a4ae0019740e334,37db0ddf72a1db6370019d695dc27f89108db8a2c8f4f479d924c64694d2bacb,0.9977,5,4,0,0,0,False,True
df5cbd95e283e978ca5972573f3e40d418ba413095662eb809813f9b3524d1d8,df5cbd95e283e978ca5972573f3e40d418ba413095662eb809813f9b3524d1d8,0c3f191ae41f964ccae85dafeab04e26cc29ee2dad3da142c6fa10586db5553f,0.9971,2,1,0,0,0,True,True
20759eea3e09b3164a1f63b3f684015846223dadbfca1989e726235309365a2a,20759eea3e09b3164a1f63b3f684015846223dadbfca1989e726235309365a2a,3f3ee564ae5a410cc2d37621af8370d3357c60071bcaa0753715cbb1f0a4997d,0.9971,2,1,0,0,0,True,True
fa775601b46f5637564b59e2c527cfb106d3a742770b5fc596cfc1c81368d3de,fa775601b46f5637564b59e2c527cfb106d3a742770b5fc596cfc1c81368d3de,505e71ece693b0b7ecc510479e2d4d683c38db3ff14fe93913f61c93d6c4a650,0.9962,13,1,0,0,0,True,True
ff6e698b7b3689568e4b1c4479326699c7b593c82f24928c8a79a2c6b56838fa,ff6e698b7b3689568e4b1c4479326699c7b593c82f24928c8a79a2c6b56838fa,1cf45caafb3fd13d68672cb4da7d0a9d0751df545d78cbd8c0a197b25b88674d,0.9962,13,1,0,0,0,True,True
763d52fbb1b60afda3cea8bd18194c042dc5b731f7b18e24fc0e56ce1bbc9050,763d52fbb1b60afda3cea8bd18194c042dc5b731f7b18e24fc0e56ce1bbc9050,d10be63d4c5e677c38f44c7e20e9aac13f7cde88d289a5275fe890bbb2da918b,0.9962,13,1,0,0,0,True,True
f310cc248452671101446be46dae3f5b51b5fb947e973409b29a9e0b2f11819a,f310cc248452671101446be46dae3f5b51b5fb947e973409b29a9e0b2f11819a,b3543b352da846d529ae1047e68117329993a151a10a5c08ded0bc612499e05e,0.9956,1,1,0,0,0,True,True
62fe86f20425712cf27b8c1d6e052684a26ce2b1637210b3831514e69ea9e711,62fe86f20425712cf27b8c1d6e052684a26ce2b1637210b3831514e69ea9e711,4ea5ee3b6e98f14379ac1beb7a785bbaa04afe4bfe55af202de28c794af3f38f,0.9956,3,3,3,0,0,True,True
373ba5420105f296d15b33784eb4746817f45120d2043b1f5ad880563f3ffb29,373ba5420105f296d15b33784eb4746817f45120d2043b1f5ad880563f3ffb29,00d90bcc3048132c86e86c27da401f871bf118f8f330d6cc964b8ceac491ec2c,0.9955,16,1,0,0,0,True,True
80147b6462273e35efd7b5483eb17ba348536845fbeb8d30c2be4a9a5c83e64b,80147b6462273e35efd7b5483eb17ba348536845fbeb8d30c2be4a9a5c83e64b,1664a6a802f2728157138c5b32a388d2dd25467ad1851006924182e0ba02795e,0.9955,16,1,0,0,0,False,True
c3af1a10bbf80e06d2446756e6c24bd03f2d84b52899a8e4bc69be9132eb300d,c3af1a10bbf80e06d2446756e6c24bd03f2d84b52899a8e4bc69be9132eb300d,3986ada0a07b2d2b0608632a7dff791b8dbf0894c97036d9b7344689f3f6775d,0.9952,5,1,0,0,0,True,True
3ab2b33eba341899171d6b152091469fda53f15fa69c2b0d177202cc16fe5e5e,3ab2b33eba341899171d6b152091469fda53f15fa69c2b0d177202cc16fe5e5e,fafcff63b256b94e71137b0867d6ab0950b0b6943ef6b718fe88a760310d4d0b,0.9949,22,0,0,0,0,False,False
b9db63b2610d9aa5c4110d9234b71b18edbba1c089ee345ba047f5f38a44ad9d,b9db63b2610d9aa5c4110d9234b71b18edbba1c089ee345ba047f5f38a44ad9d,d84ca9f1d8694d8a797e20a885b9235504ce705ebefe4b70f99b1c1a19b9bf72,0.9937,1,1,0,0,0,True,True
c74d0961724c81ec72fdd4d825e9c76a90411d0edcd81fe77847698a79b3ae4b,c74d0961724c81ec72fdd4d825e9c76a90411d0edcd81fe77847698a79b3ae4b,afeba9d03d8fa4a607dd8fb8afd178452a8f716f56c647695b6b9574472e309c,0.9937,5,1,1,0,0,False,True
63ed62b5490eee5318bf12290e277f387695212b19ee53364bd0b8c3559c1808,63ed62b5490eee5318bf12290e277f387695212b19ee53364bd0b8c3559c1808,77fbbe987b1ec840ddab8a120490c8674a84653831d208e47ac3178c0608a329,0.9927,2,1,0,0,0,True,True
