base_name,step1_file,step5_file,bleu_score,edit_distance,step1_syntax_errors,step1_expression_errors,step5_syntax_errors,step5_expression_errors,yaml_improved,actionlint_improved
e31683ca78a432407085dc9f45bbdf49b663b7ac4befda4f4758bc50ab0ceef2,e31683ca78a432407085dc9f45bbdf49b663b7ac4befda4f4758bc50ab0ceef2,78b4dd60cba434f743e03885322bd757cb44f16804bf4186a530542ab8d54fc4,0.9757,3,1,0,0,0,False,True
12607c88ad84fd954e303351f1c29298f9515d50a162882d807d41f663da9a8c,12607c88ad84fd954e303351f1c29298f9515d50a162882d807d41f663da9a8c,ba5544653a932e6e800947a5884ea4cdef15fff8cbf48613116c0ab5b7db4b80,0.9623,2,1,0,0,0,False,True
144219ae5871007f568ea79dff27e67c705fb08e6fc115c9cdabc114a04d9ee6,144219ae5871007f568ea79dff27e67c705fb08e6fc115c9cdabc114a04d9ee6,86fea1cdca14ba0b749c90f15a2275949e270d8f4aea2075f51bf229d756c9ac,0.9465,4,1,0,0,0,True,True
f6b366f61f105b2434b762f349336b8c2d15695f72cfc34636fe14f6feb7cc71,f6b366f61f105b2434b762f349336b8c2d15695f72cfc34636fe14f6feb7cc71,7af96db03ecd288be58c7c29881337f2315f1f7bf07acd75ca434e4724d9de77,0.9441,20,3,0,0,0,False,True
fbfc9e8945dd2dba9f0c4edfda567e116c610a54ae4a39ed9bf1fd44dbb01c02,fbfc9e8945dd2dba9f0c4edfda567e116c610a54ae4a39ed9bf1fd44dbb01c02,28712b6775bc1353d6f99810c62f0664e864c0854db560c4594eca7f24ed7c2c,0.9391,4,1,0,0,0,False,True
55c87a3ab6dd1fb82c5c96d93cf0e81201ec3c8cc53b87a8b45cad58272409dc,55c87a3ab6dd1fb82c5c96d93cf0e81201ec3c8cc53b87a8b45cad58272409dc,1975138d2a043bcba95fb98c7aec98c2fab3639aa452913e8825a20dbadd1323,0.9237,6,2,0,0,0,False,True
863201e059ff239884fdbd95aed968d04688efc43c602dc758298ae80ce0d4c6,863201e059ff239884fdbd95aed968d04688efc43c602dc758298ae80ce0d4c6,ad4479c56dd123177770180f1375c3b1784c204c7422f8442cf5bebd5708f7ba,0.8939,7,1,0,0,0,False,True
14ac7b69a9de471f132d57419f8f0edd08cdba29dbcd6a567df06d02e12897a6,14ac7b69a9de471f132d57419f8f0edd08cdba29dbcd6a567df06d02e12897a6,99b7086b33a3dffcabe8bb1f6d6ae4a2b765bd84267056a911eaf0ea49af3908,0.8897,7,1,0,0,0,True,True
6d852ea88b27cc10254f423c1f014b5841e7b15845b7197b69f631e69c0fa6b1,6d852ea88b27cc10254f423c1f014b5841e7b15845b7197b69f631e69c0fa6b1,6665b7842bcc6d6d830df42f1610fb80423e6124f64fa4a2f4c76026550f630c,0.8836,34,1,0,0,0,True,True
483d349a1f8b71e2386cb1b43b105757ddaf51c739c01f55d56cf8a040c9f533,483d349a1f8b71e2386cb1b43b105757ddaf51c739c01f55d56cf8a040c9f533,86b9780d8c614384e644e945b2b8c9033417404fc8856d54311b354245ba3cbe,0.8677,4,1,0,0,0,False,True
cd5037f8e53c575214a162a5bd263b4a0c3eb3e40a6339f07b27d0ec79130d6f,cd5037f8e53c575214a162a5bd263b4a0c3eb3e40a6339f07b27d0ec79130d6f,f9149a1ebb8713d6f8c2907a9dfb754e1881b2b8e856cb690ecf227244d1ee66,0.8579,4,1,0,0,0,False,True
