base_name,step1_file,step3_file,step1_yaml_valid,step1_actionlint_valid,step1_syntax_errors,step1_expression_errors,step3_yaml_valid,step3_actionlint_valid,step3_syntax_errors,step3_expression_errors,yaml_improved,actionlint_improved,edit_distance,bleu_score,is_actionlint_passed,is_high_quality
97b297a112d2efc43408ad9a25217145b290db8dfe368c119ed6fc87713519f4,97b297a112d2efc43408ad9a25217145b290db8dfe368c119ed6fc87713519f4,97b297a112d2efc43408ad9a25217145b290db8dfe368c119ed6fc87713519f4,False,False,1,0,False,False,1,0,False,False,0,1.0000,False,False
b6a9799a6d95593a0ac9d03c59b922663723130f4cbf041fa1f3501962c2a923,b6a9799a6d95593a0ac9d03c59b922663723130f4cbf041fa1f3501962c2a923,b6a9799a6d95593a0ac9d03c59b922663723130f4cbf041fa1f3501962c2a923,False,False,1,0,False,False,1,0,False,False,0,1.0000,False,False
a4a4434b604501e4f0f2e0fd8b374aaeb9d683edefc84847f9aeb6e654917c5d,a4a4434b604501e4f0f2e0fd8b374aaeb9d683edefc84847f9aeb6e654917c5d,a4a4434b604501e4f0f2e0fd8b374aaeb9d683edefc84847f9aeb6e654917c5d,True,False,1,0,True,False,1,0,False,False,0,1.0000,False,False
f1bf58453d14cc2a9887549be65121d9c40e2dc4553fb6b340565b187a5c23f8,f1bf58453d14cc2a9887549be65121d9c40e2dc4553fb6b340565b187a5c23f8,f1bf58453d14cc2a9887549be65121d9c40e2dc4553fb6b340565b187a5c23f8,False,False,1,0,False,False,1,0,False,False,0,1.0000,False,False
d76cc6cffa2a19f8010aa1ecc83c2cd7f55b58a60716180bbe4e2eec97c2ec84,d76cc6cffa2a19f8010aa1ecc83c2cd7f55b58a60716180bbe4e2eec97c2ec84,d76cc6cffa2a19f8010aa1ecc83c2cd7f55b58a60716180bbe4e2eec97c2ec84,True,False,1,0,True,False,1,0,False,False,0,1.0000,False,False
433f61efd6ba61c61623ea30f7ac2f6895b03688fd3ef3f6ed0f65900f39585c,433f61efd6ba61c61623ea30f7ac2f6895b03688fd3ef3f6ed0f65900f39585c,433f61efd6ba61c61623ea30f7ac2f6895b03688fd3ef3f6ed0f65900f39585c,False,False,1,0,False,False,1,0,False,False,0,1.0000,False,False
92784da384d6b7bd478f7d1bf88d49a652c83180944f764688428f1b1232e8bb,92784da384d6b7bd478f7d1bf88d49a652c83180944f764688428f1b1232e8bb,92784da384d6b7bd478f7d1bf88d49a652c83180944f764688428f1b1232e8bb,True,False,1,0,True,False,1,0,False,False,0,1.0000,False,False
3d6aa48944191d0b6c548086e097177e3867248f536ed934d03f6110c8b929db,3d6aa48944191d0b6c548086e097177e3867248f536ed934d03f6110c8b929db,3d6aa48944191d0b6c548086e097177e3867248f536ed934d03f6110c8b929db,True,False,2,0,True,False,2,0,False,False,0,1.0000,False,False
9aae4597c87f52fccf427cdc4f85733b34945fb80fb54f1c77b2c5ed52620412,9aae4597c87f52fccf427cdc4f85733b34945fb80fb54f1c77b2c5ed52620412,9aae4597c87f52fccf427cdc4f85733b34945fb80fb54f1c77b2c5ed52620412,True,False,1,0,True,False,1,0,False,False,0,1.0000,False,False
2909b952450a53a6e9e69f5e5327a135385cb866fa7a852be57ffec481aef2e9,2909b952450a53a6e9e69f5e5327a135385cb866fa7a852be57ffec481aef2e9,2909b952450a53a6e9e69f5e5327a135385cb866fa7a852be57ffec481aef2e9,True,False,1,0,True,False,1,0,False,False,0,1.0000,False,False
3babac6e2567e6c9976aedc0c357d2bb373fe35e34410f4f419903c0f260257a,3babac6e2567e6c9976aedc0c357d2bb373fe35e34410f4f419903c0f260257a,3babac6e2567e6c9976aedc0c357d2bb373fe35e34410f4f419903c0f260257a,False,False,1,0,False,False,1,0,False,False,0,1.0000,False,False
c9176c82b34f692cbfb901f091bdd26af899fbd94c21c0d85f0dd2d9556109b6,c9176c82b34f692cbfb901f091bdd26af899fbd94c21c0d85f0dd2d9556109b6,c9176c82b34f692cbfb901f091bdd26af899fbd94c21c0d85f0dd2d9556109b6,True,False,2,0,True,False,2,0,False,False,0,1.0000,False,False
