base_name,step1_file,step2_file,step1_yaml_valid,step1_actionlint_valid,step1_syntax_errors,step1_expression_errors,step2_yaml_valid,step2_actionlint_valid,step2_syntax_errors,step2_expression_errors,yaml_improved,actionlint_improved,edit_distance,bleu_score,is_actionlint_passed,is_high_quality
c6252f27f8defe45e1e077a8b11a5638c48634cd7cb10000e921693b90832302,c6252f27f8defe45e1e077a8b11a5638c48634cd7cb10000e921693b90832302,bcf03d64458e9e79706e1c0cfd703fd45eed14a2d6a13d1f030eacbdbb4a40bd,True,False,0,3,True,False,0,3,False,False,9,0.8484,False,False
cd5037f8e53c575214a162a5bd263b4a0c3eb3e40a6339f07b27d0ec79130d6f,cd5037f8e53c575214a162a5bd263b4a0c3eb3e40a6339f07b27d0ec79130d6f,0796001c974e101627a2a0a4c0c17f6d7536d49126e56bc11a8b6a37f5ddefd9,True,False,1,0,True,True,0,0,False,True,1,0.9400,True,True
a213a851c82357b79f2c11fc331f2fc07aa5f4282936241cd807747480e0ce83,a213a851c82357b79f2c11fc331f2fc07aa5f4282936241cd807747480e0ce83,0ba0432f32fe35ac6148b814c83c479093ed4e0717eaad72fcbc9fee7162e5b6,True,False,1,0,True,True,0,0,False,True,4,0.9590,True,True
a31b41aad4aa1e455f5668a8f9feec2042f16bf5444acc799d77c4886842ec5f,a31b41aad4aa1e455f5668a8f9feec2042f16bf5444acc799d77c4886842ec5f,4cfd16d2925f5d2af301dd679ea42dce615ca3e23452ee1d9dce189a5d8df93e,True,False,1,6,True,False,0,6,False,False,3,0.9558,False,False
a6c4846b890db259b878704d820e7a593e1aaca52f2a1a87359058a8ce7587f5,a6c4846b890db259b878704d820e7a593e1aaca52f2a1a87359058a8ce7587f5,500667dc1fcac52298617368b6ad8c4ade22399593e76c22afcd949d6db47a97,True,False,1,0,True,True,0,0,False,True,3,0.9308,True,True
d5ce3bebf31d3c36b9b79016c03f464b36459be04c5e8e11a1c73f4538dd212f,d5ce3bebf31d3c36b9b79016c03f464b36459be04c5e8e11a1c73f4538dd212f,d9d819437505c995000b8f30ad861816ec2979682c58305e9600c1c65021e3df,False,False,1,0,True,True,0,0,True,True,8,0.9077,True,True
18a6e326f1d5d0cd0197f594d6f65a9383f248fa5db1697e68c1f5f52ad6b8fd,18a6e326f1d5d0cd0197f594d6f65a9383f248fa5db1697e68c1f5f52ad6b8fd,71fbc36bb5bfd959f87bfd1536dd70c588fc2fa4a55506e7c250dd14ac7ca294,True,True,0,0,True,True,0,0,False,False,1,0.9220,True,True
df6d6d4ef1c9d00e6d4249ee2087a4557006763ffcaa057b724c09a473c62421,df6d6d4ef1c9d00e6d4249ee2087a4557006763ffcaa057b724c09a473c62421,b70253dee318fda086fd47f84ed4598911a0b86849cc47852fc099ccd205757e,True,True,0,0,True,True,0,0,False,False,9,0.8979,True,True
0704bc7c17620a58bf1c422682f783ae8f3ea562484d542cea8dd80d5b38bbf6,0704bc7c17620a58bf1c422682f783ae8f3ea562484d542cea8dd80d5b38bbf6,0174f0ac7e4b4f0ea5b8373a5a974821ada2e9f323a94bb4367ab6c0b589432b,False,False,1,0,True,True,0,0,True,True,2,0.8988,True,True
eafd8619ee686d743b409880088c4ab4a3ce9d7bff182051ecbfcce7d27081e6,eafd8619ee686d743b409880088c4ab4a3ce9d7bff182051ecbfcce7d27081e6,4bccd20518f18f4f1de247c87dd3ecd8b97fdb366786f832ad4f655f3c86c7a9,False,False,1,0,True,True,0,0,True,True,6,0.6314,True,False
91b80ac627b177256ad52f8413ace40e469323d73eab5434e94caf854ced42cf,91b80ac627b177256ad52f8413ace40e469323d73eab5434e94caf854ced42cf,8358ab48191f4588d92d63b73f9e597188b35e489bbd90323417c2ab732280e5,False,False,1,0,True,True,0,0,True,True,1,0.8656,True,True
