base_name,step1_file,step5_file,step1_yaml_valid,step1_actionlint_valid,step1_syntax_errors,step1_expression_errors,step5_yaml_valid,step5_actionlint_valid,step5_syntax_errors,step5_expression_errors,yaml_improved,actionlint_improved,edit_distance,bleu_score,is_actionlint_passed,is_high_quality
c6252f27f8defe45e1e077a8b11a5638c48634cd7cb10000e921693b90832302,c6252f27f8defe45e1e077a8b11a5638c48634cd7cb10000e921693b90832302,05533156ae258f126fde7363785a0a9337c64d8371ee88a4792fda30da3e3613,True,False,0,3,True,False,0,3,False,False,15,0.7682,False,False
cd5037f8e53c575214a162a5bd263b4a0c3eb3e40a6339f07b27d0ec79130d6f,cd5037f8e53c575214a162a5bd263b4a0c3eb3e40a6339f07b27d0ec79130d6f,f9149a1ebb8713d6f8c2907a9dfb754e1881b2b8e856cb690ecf227244d1ee66,True,False,1,0,True,True,0,0,False,True,4,0.8579,True,True
a213a851c82357b79f2c11fc331f2fc07aa5f4282936241cd807747480e0ce83,a213a851c82357b79f2c11fc331f2fc07aa5f4282936241cd807747480e0ce83,d31882aa46aa68811ffd36f14f6372b4eba8fa66c084201aa8b35652de832331,True,False,1,0,True,True,0,0,False,True,26,0.7517,True,False
a31b41aad4aa1e455f5668a8f9feec2042f16bf5444acc799d77c4886842ec5f,a31b41aad4aa1e455f5668a8f9feec2042f16bf5444acc799d77c4886842ec5f,481e6bd63a90a016dce510d7823ca31da4d8e6363bc08e9a2bd3be743c17b3a8,True,False,1,6,True,False,0,6,False,False,24,0.7871,False,False
a6c4846b890db259b878704d820e7a593e1aaca52f2a1a87359058a8ce7587f5,a6c4846b890db259b878704d820e7a593e1aaca52f2a1a87359058a8ce7587f5,ca5c29efa86fad5244087707ba6ec22b1b5e8141390c36008923809aa6fe51ff,True,False,1,0,True,True,0,0,False,True,28,0.4215,True,False
d5ce3bebf31d3c36b9b79016c03f464b36459be04c5e8e11a1c73f4538dd212f,d5ce3bebf31d3c36b9b79016c03f464b36459be04c5e8e11a1c73f4538dd212f,164beee84c3f408a6ccd7ed5a938b3b1c42f63fc975e19ab57238321fe90c14d,False,False,1,0,True,True,0,0,True,True,65,0.5524,True,False
18a6e326f1d5d0cd0197f594d6f65a9383f248fa5db1697e68c1f5f52ad6b8fd,18a6e326f1d5d0cd0197f594d6f65a9383f248fa5db1697e68c1f5f52ad6b8fd,b410f57fc66965f368d156c576deb77c0744d5ff0ab8d603b70e26805201c7ab,True,True,0,0,True,True,0,0,False,False,5,0.7623,True,False
df6d6d4ef1c9d00e6d4249ee2087a4557006763ffcaa057b724c09a473c62421,df6d6d4ef1c9d00e6d4249ee2087a4557006763ffcaa057b724c09a473c62421,c0e5cdbc513def03506110fce2823d1c6b0adb3701bd89df23c06b27bf4b60a0,True,True,0,0,True,True,0,0,False,False,15,0.8128,True,False
0704bc7c17620a58bf1c422682f783ae8f3ea562484d542cea8dd80d5b38bbf6,0704bc7c17620a58bf1c422682f783ae8f3ea562484d542cea8dd80d5b38bbf6,6cbd1b964c79b808ad26343da51af19ace45d4f93cfb0cd39002018034b5e265,False,False,1,0,True,True,0,0,True,True,32,0.3408,True,False
eafd8619ee686d743b409880088c4ab4a3ce9d7bff182051ecbfcce7d27081e6,eafd8619ee686d743b409880088c4ab4a3ce9d7bff182051ecbfcce7d27081e6,c7df025042b4b010cbb78dda9c5628f3c2028ff7136d0a0b0a316ac97dd73068,False,False,1,0,True,True,0,0,True,True,23,0.2797,True,False
