base_name,step1_file,step5_file,step1_yaml_valid,step1_actionlint_valid,step1_syntax_errors,step1_expression_errors,step5_yaml_valid,step5_actionlint_valid,step5_syntax_errors,step5_expression_errors,yaml_improved,actionlint_improved,edit_distance,bleu_score,is_actionlint_passed,is_high_quality
e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,False,False,1,0,False,False,1,0,False,False,0,0.1778,False,False
14ac7b69a9de471f132d57419f8f0edd08cdba29dbcd6a567df06d02e12897a6,14ac7b69a9de471f132d57419f8f0edd08cdba29dbcd6a567df06d02e12897a6,14ac7b69a9de471f132d57419f8f0edd08cdba29dbcd6a567df06d02e12897a6,False,False,1,0,False,False,1,0,False,False,0,1.0000,False,False
a5d6da5f0fdc71dcb62c04217471e9066c7b2473186161f36c093286ea8b8647,a5d6da5f0fdc71dcb62c04217471e9066c7b2473186161f36c093286ea8b8647,a5d6da5f0fdc71dcb62c04217471e9066c7b2473186161f36c093286ea8b8647,False,False,1,0,False,False,1,0,False,False,0,1.0000,False,False
6a273a33b1ff47e0e6d7e8bd29109a32ea87901319bb5ae4b09e9beed1cd28d5,6a273a33b1ff47e0e6d7e8bd29109a32ea87901319bb5ae4b09e9beed1cd28d5,6a273a33b1ff47e0e6d7e8bd29109a32ea87901319bb5ae4b09e9beed1cd28d5,False,False,1,0,False,False,1,0,False,False,0,1.0000,False,False
c3a53e7dcb7a22f766d419e210f3d8a879d9f59903767774cce3e7df6fe316b6,c3a53e7dcb7a22f766d419e210f3d8a879d9f59903767774cce3e7df6fe316b6,c3a53e7dcb7a22f766d419e210f3d8a879d9f59903767774cce3e7df6fe316b6,True,False,1,2,True,False,1,2,False,False,0,1.0000,False,False
50c1ba20893abcce7d4d3dd9ea0dfbf154084c20828ebd57aa0eef3298eb2e89,50c1ba20893abcce7d4d3dd9ea0dfbf154084c20828ebd57aa0eef3298eb2e89,50c1ba20893abcce7d4d3dd9ea0dfbf154084c20828ebd57aa0eef3298eb2e89,False,False,1,0,False,False,1,0,False,False,0,1.0000,False,False
3a6d2514fde66788af79c10b86f8e8b5611d84758915127a9d8794c3776ceaf8,3a6d2514fde66788af79c10b86f8e8b5611d84758915127a9d8794c3776ceaf8,3a6d2514fde66788af79c10b86f8e8b5611d84758915127a9d8794c3776ceaf8,False,False,0,1,False,False,0,1,False,False,0,1.0000,False,False
f8cc7d60ade114953f97fd872d5329ada58a2033b28693f152a146e26eccad11,f8cc7d60ade114953f97fd872d5329ada58a2033b28693f152a146e26eccad11,f8cc7d60ade114953f97fd872d5329ada58a2033b28693f152a146e26eccad11,False,False,1,0,False,False,1,0,False,False,0,1.0000,False,False
2d551eb6a77d3e206b9123d6cb434c335114b00e3139ad153cb3acefe4c9a103,2d551eb6a77d3e206b9123d6cb434c335114b00e3139ad153cb3acefe4c9a103,2d551eb6a77d3e206b9123d6cb434c335114b00e3139ad153cb3acefe4c9a103,True,False,2,0,True,False,2,0,False,False,0,1.0000,False,False
7f893f19918a728a3599e12ba24b5ace0bf8a55ef4b1a2dbb0f04eed708ab2bf,7f893f19918a728a3599e12ba24b5ace0bf8a55ef4b1a2dbb0f04eed708ab2bf,7f893f19918a728a3599e12ba24b5ace0bf8a55ef4b1a2dbb0f04eed708ab2bf,False,False,1,0,False,False,1,0,False,False,0,1.0000,False,False
01f782b36dad8326b4ec61387e43104847db49208a0e8ff2dfcf7df110c71c03,01f782b36dad8326b4ec61387e43104847db49208a0e8ff2dfcf7df110c71c03,01f782b36dad8326b4ec61387e43104847db49208a0e8ff2dfcf7df110c71c03,True,True,0,0,True,True,0,0,False,False,0,1.0000,True,True
2110244e1671f0f6556aa9295649e4a8d8311f60a7cd0d8b0c5e3bcfa6a9c44a,2110244e1671f0f6556aa9295649e4a8d8311f60a7cd0d8b0c5e3bcfa6a9c44a,2110244e1671f0f6556aa9295649e4a8d8311f60a7cd0d8b0c5e3bcfa6a9c44a,False,False,1,0,False,False,1,0,False,False,0,1.0000,False,False
edfc1e4d2dd4415ea78e5610ba0b60dfd6dc4a2cf82e6de9737b378c5453e379,edfc1e4d2dd4415ea78e5610ba0b60dfd6dc4a2cf82e6de9737b378c5453e379,edfc1e4d2dd4415ea78e5610ba0b60dfd6dc4a2cf82e6de9737b378c5453e379,True,False,1,0,True,False,1,0,False,False,0,1.0000,False,False
b1427198d3ad501b9945d7612543b9328b2d677321b3e46d5f07d75f15489a97,b1427198d3ad501b9945d7612543b9328b2d677321b3e46d5f07d75f15489a97,b1427198d3ad501b9945d7612543b9328b2d677321b3e46d5f07d75f15489a97,False,False,1,0,False,False,1,0,False,False,0,1.0000,False,False
2718f9c1b8830918c89d8e5e88d56264c4c30afd9938f8ec2357b173c4e626fc,2718f9c1b8830918c89d8e5e88d56264c4c30afd9938f8ec2357b173c4e626fc,2718f9c1b8830918c89d8e5e88d56264c4c30afd9938f8ec2357b173c4e626fc,False,False,1,0,False,False,1,0,False,False,0,1.0000,False,False
dc00f4de123c75ced3bd973dd97c2fdd3a0a47d40df04035a68164084c539583,dc00f4de123c75ced3bd973dd97c2fdd3a0a47d40df04035a68164084c539583,dc00f4de123c75ced3bd973dd97c2fdd3a0a47d40df04035a68164084c539583,True,False,1,0,True,False,1,0,False,False,0,1.0000,False,False
