Category,Metric,Value
Overall,Total Files,16
Overall,STEP5 YAML Success Rate,31.25%
Overall,STEP5 actionlint Success Rate,6.25%
Overall,Average BLEU Score,0.9486
Actionlint Passed,Count,1
Actionlint Passed,Percentage of All,6.25%
Actionlint Passed,Average BLEU,1.0000
High Quality (actionlint + BLEU>=0.85),Count,1
High Quality,Percentage of All,6.25%
High Quality,Percentage of Actionlint Passed,100.00%
