file_hash,action,context,credentials,cron,deprecated-commands,env-var-name,expression,glob,id-name,if-cond,job-dependency,job-id,local-action,matrix,metadata,permissions,popular-action,pyflakes,reusable-workflow,runner-label,shell-name,shellcheck,syntax-check,untrusted-input,webhook-event,workflow-dispatch
af61756750fe428a1bc683d83703fd0bd899a44d3524fd44dbd72afad37a0ac0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
461452c4b77462d6853a2c2e88e09be912b8921445105af35706dbac32f5c74c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
bd6ffd3533240f02cfa11e0061037fed0d0154f5809c8f9ca5545c0604910307,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e467176300adfdd3925cbf93a28f6ad78ee0f8b34d6c25c974712731cb7a3a18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65e2f7c950b679ecb6e03109f9a645a619fdb5d5635d6ffcb3c4a969df4008d2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2ad84d057cf777343cec9e7931e6438157591ee289efe53ce5bab62896575f58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13567e1ec89ab0f873ff5861ae5b05544289ac474b9bda8fcddbac151e9923c1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aa0a5689b70821806218c4db255cbc52f77ab621286fec3ffd82349e57d9309e,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1cf15b1420fa5e625ab5b2464762286b72ffa217d2972c1c86d7991a06da7142,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3bafe0b0e9287e452118023e770e078400451366cf127a01a70d9d64ee2b3b8c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1cba1d1ab14a90c138a561d55b431796c1e9b3544ae98ca0f4c86d5c58aef605,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a56da143138d3c2e75c8f45416152be25b4f0f905a1dc71dd276e91a5732b95d,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
386be098e2b6b4b00fd018230b3cf8cf2409e8483015ba00b16000c65dfb9b64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e84e38608f82000a9ba722c2ca9bfbc654a957f3f6dcad39b3382e6aadab93d6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a9730bc5b05af98c354a98d74a8bfec1553067b6a825e8b37a4663817a24f659,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f5bc7a2a22dda2b279ce4377103990548eae7efcfc6638395183cd3a644abf67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9446b8eec0b7a14609c3ab94dbece5904daee77015225a9841c06d8975c608cf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98dfefe6e0cdc400c5a2d017082bb202da8dc766d6c9a6c61564117946732bc8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d812bd7266b890811c15de30361e62083f2253b2a19ad141f79c04bb06ab4dda,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91e0632bf0656ffb97c080387d8f94403b2d94302868bd256d5965f882ba7d35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ad0ebfbe2080d8a7b29e4a7f0e879b811b9aafe637d71c029f0a304479e169bf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c283813d365999256d9a1f84e67a6134d2cf910931077cb6f3d0797d1e8dde79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d9c39b0652434d2c5d538de5bec616a3cebbb169a4832ed3d6347d6bac966fe5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
